Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
2160,3840,Ultra HD (4K),Acer,139.0,55,AR55GR2851UDFL,2023,Yes,Google TV,2,3,LED,29999
2160,3840,Ultra HD (4K),Hisense,126.0,50,50A7H,2022,Yes,Google TV,2,3,LED,27999
720,1280,HD Ready,Mi,80.0,32,L32M8-5AIN,2023,Yes,Google TV,2,2,LED,11499
720,1280,HD Ready,TCL,79.97,32,32S5400A,2022,Yes,Android,1,2,LED,10990
2160,3840,Ultra HD (4K),Blaupunkt,139.0,55,55CSGT7023,2023,Yes,Google TV,2,3,LED,26999
720,1280,HD Ready,KODAK,80.0,32,32HDX7XPRO,2020,Yes,Android,2,3,LED,8999
720,1280,HD Ready,Thomson,60.0,24,24TM2490,2018,No,Android,2,2,LED,5999
2160,3840,Ultra HD (4K),SONY,125.7,50,KD-50X64L,2023,Yes,Google TV,1,3,LED,52990
1080,1920,Full HD,Coocaa,109.0,43,43S3U-Pro,2023,Yes,Coolita,1,2,LED,14999
1080,1920,Full HD,TCL,80.04,32,32S5400,2022,Yes,Google TV,1,2,LED,12990
2160,3840,Ultra HD (4K),Hisense,139.0,55,55A6K,2023,Yes,Google TV,2,3,LED,29990
2160,3840,Ultra HD (4K),Thomson,126.0,50,Q50H1000,2022,Yes,Google TV,2,3,QLED,29999
1080,1920,Full HD,iFFALCON,101.0,40,iFF40S53,2023,Yes,Android,1,2,LED,14999
1080,1920,Full HD,SAMSUNG,109.0,43,UA43T5450AKXXL,2022,Yes,Tizen,1,2,LED,26990
1080,1920,Full HD,OnePlus,100.0,40,40FA1A00/40FA1A00_V1,2021,Yes,Android,2,2,LED,21999
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,UA55AUE60AKLXL,2021,Yes,Tizen,1,3,LED,45990
2160,3840,Ultra HD (4K),Compaq,109.0,43,CQV43AX1UD,2022,Yes,Android,2,3,LED,17990
2160,3840,Ultra HD (4K),SENS,127.0,50,SENS50WGSUHD,2023,Yes,Google TV,2,3,LED,21999
2160,3840,Ultra HD (4K),Sansui,140.0,55,JSW55ASUHD,2020,Yes,Android,2,3,LED,32490
2160,3840,Ultra HD (4K),Thomson,164.0,65,Q65H1100,2022,Yes,Google TV,2,2,QLED,44999
720,1280,HD Ready,Dyanora,60.0,24,DY-LD24H4S,2022,Yes,Linux,2,2,LED,6499
2160,3840,Ultra HD (4K),CANDY,165.0,65,CA6560CQLED,2023,Yes,Google TV,2,4,QLED,39999
720,1280,HD Ready,BeethoSOL,80.0,32,LEDSTVBG3285HD27-EK,2022,Yes,Android,2,1,LED,7299
720,1280,HD Ready,realme,80.0,32,RMV2101,2021,Yes,Linux,1,2,LED,11999
720,1280,HD Ready,Coocaa,80.0,32,32S3U-Pro,2021,Yes,Coolita,1,2,LED,7999
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,QA65LS03BAKLXL,2022,Yes,Tizen,2,4,QLED,129999
2160,3840,Ultra HD (4K),Mi,138.0,55,L55M8-5XIN,2023,Yes,Google TV,2,3,LED,44999
2160,3840,Ultra HD (4K),iFFALCON,164.0,65,iFF65U62,2022,Yes,Google TV,1,3,LED,41999
2160,3840,Ultra HD (4K),SONY,108.0,43,KD-43X75L,2023,Yes,Google TV,2,3,LED,48440
1080,1920,Full HD,Vu,108.0,43,43GA-Android,2022,Yes,Android,2,2,LED,20990
720,1280,HD Ready,Blaupunkt,80.0,32,32CSG7111,2023,Yes,Android,2,3,LED,9499
2160,3840,Ultra HD (4K),TCL,139.0,55,55C645,2023,Yes,Google TV,1,3,QLED,39990
2160,3840,Ultra HD (4K),MOTOROLA,178.0,70,70UHDGDMBS5E,2023,Yes,Google TV,2,3,LED,59999
2160,3840,Ultra HD (4K),Acer,108.0,43,AR43GR2851VQD,2023,Yes,Google TV,2,3,QLED,27999
2160,3840,Ultra HD (4K),Vu,108.0,43,43CA,2023,Yes,Google TV,2,3,LED,25999
2160,3840,Ultra HD (4K),OnePlus,138.0,55,55UD2A00,2022,Yes,Android,2,3,LED,39999
720,1280,HD Ready,SAMSUNG,80.0,32,UA32T4340AKXXL / UA32T4340BKXXL,2020,Yes,Tizen,1,2,LED,14990
2160,3840,Ultra HD (4K),LG,108.0,43,43NANO73SQA,2022,Yes,WebOS,2,3,LED,38990
720,1280,HD Ready,Coocaa,81.0,32,32S3U,2019,Yes,Linux,1,3,LED,11999
2160,3840,Ultra HD (4K),Thomson,126.0,50,50PATH1010BL,2021,Yes,Android,2,3,LED,24999
2160,3840,Ultra HD (4K),CANDY,108.0,43,CA43U50LED,2023,Yes,Google TV,2,4,LED,17999
2160,3840,Ultra HD (4K),Acer,127.0,50,AR50AR2851UDFL,2022,Yes,Android,2,3,LED,27999
2160,3840,Ultra HD (4K),TOSHIBA,139.0,55,55C350MP,2023,Yes,Google TV,2,3,LED,34990
2160,3840,Ultra HD (4K),Mi,108.0,43,L43M6-ES,2021,Yes,Android,2,3,LED,29999
2160,3840,Ultra HD (4K),Mi,125.7,50,L50M6-ES,2021,Yes,Android,2,3,LED,39999
1080,1920,Full HD,Acer,108.0,43,AR43GR2841FDFL,2023,Yes,Google TV,2,2,LED,18999
2160,3840,Ultra HD (4K),TCL,164.0,65,65P635,2022,Yes,Google TV,1,3,LED,46990
2160,3840,Ultra HD (4K),Sansui,165.0,65,JSW65ASUHDFF,2022,Yes,Google TV,2,3,LED,46999
720,1280,HD Ready,Sansui,80.0,32,(JSWY32GSHD),2023,Yes,Google TV,2,2,LED,10910
2160,3840,Ultra HD (4K),LG,139.0,55,55NANO91TNA,2020,Yes,WebOS,3,4,LED,89999
2160,3840,Ultra HD (4K),Thomson,126.0,50,50OATHPRO1212,2020,Yes,Android,2,3,LED,22999
2160,3840,Ultra HD (4K),Hisense,139.0,55,55A7K,2023,Yes,Google TV,2,3,LED,33999
2160,3840,Ultra HD (4K),Hisense,164.0,65,65A7K,2023,Yes,Google TV,2,3,LED,46999
2160,3840,Ultra HD (4K),Nokia,139.0,55,55TAUHDN,2020,Yes,Android,2,3,LED,31999
2160,3840,Ultra HD (4K),CANDY,139.0,55,CA55U50LED,2023,Yes,Google TV,2,4,LED,29999
2160,3840,Ultra HD (4K),Blaupunkt,108.0,43,43QD7050,2023,Yes,Google TV,2,3,QLED,21999
720,1280,HD Ready,MarQ,60.0,24,24HDNDQPPAB,2022,No,Not Specified,2,2,LED,5699
2160,3840,Ultra HD (4K),Sansui,127.0,50,JSW50GSUHD,2023,Yes,Google TV,2,3,LED,26999
2160,3840,Ultra HD (4K),LG,139.0,55,55UQ7500PSF,2022,Yes,WebOS,1,3,LED,44990
720,1280,HD Ready,Infinix,80.0,32,32W1 Q,2023,Yes,WebOS,2,3,QLED,9499
2160,3840,Ultra HD (4K),TCL,108.0,43,43C645,2023,Yes,Google TV,1,3,QLED,28990
2160,3840,Ultra HD (4K),LG,164.0,65,65UK7500PTA,2018,Yes,WebOS,2,4,LED,111749
720,1280,HD Ready,OnePlus,80.0,32,32HD2A00,2022,Yes,Android,2,2,LED,19890
2160,3840,Ultra HD (4K),iFFALCON,164.0,65,iFF65Q73,2023,Yes,Google TV,1,3,QLED,47999
1080,1920,Full HD,Coocaa,108.0,43,43S7G,2022,Yes,Android,2,2,LED,16999
2160,3840,Ultra HD (4K),KODAK,164.0,65,65CAPRO5099,2023,Yes,Google TV,2,3,LED,43999
2160,3840,Ultra HD (4K),Nokia,140.0,55,55UHDAQNDT5Q,2021,Yes,Android,2,3,QLED,54999
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65A2PSA,2022,Yes,WebOS,2,3,OLED,149990
1080,1920,Full HD,OnePlus,101.0,40,40FA1A00,2023,Yes,Android,2,2,LED,21999
