title,deal_price,screen_type,hdmi_count,usb_count,os,smart_tv,display_size,hd_technology_resolution,launch_year,model_name
Acer Advanced I Series 189 cm (75 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (AR75GR2851UDFL),"₹79,999",LED,3,2,Google TV,Yes,189 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2023,AR75GR2851UDFL
Sansui 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Zen Panel Dolby Vision & Atmos  (JSW65GSQLED),"₹51,890",QLED,3,2,Google TV,Yes,165 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,JSW65GSQLED
SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV  (KD-55X80J),"₹74,990",LED,4,2,Google TV,Yes,138.8 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2021,KD-55X80J
KODAK X900 80 cm (32 inch) HD Ready LED TV  (32HDX900s),"₹7,499",LED,2,2,Android,No,80 cm (32 inch),"HD Ready, 1366 x 768",2017,32HDX900s
"Compaq HUEQ W32S 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio , Google assistant, HDR 10 , Experience Stabilisation Engine  (CQ32APHDBZ)","₹21,998",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,CQ32APHDBZ
XElectron Advance 80 cm (32 inch) HD Ready LED Smart Android TV  (32XETV),"₹8,022",LED,2,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32XETV
"MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV QuantumGlow Technology, Dolby Vision & Dolby Atmos (2023 Range)  (55UHDGQMWS5Q)","₹36,999",QLED,3,2,Google TV,Yes,140 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,55UHDGQMWS5Q
Panasonic 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition  (TH-32MS660DX),"₹15,990",LED,2,2,Google TV,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,TH-32MS660DX
Panasonic 80 cm (32 inch) HD Ready LED Smart TV  (TH-32JS650DX),"₹25,000",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2021,TH-32JS650DX
"Coocaa 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Google Assistant, HDR 10 and Dolby Audio  (43S6G Pro)","₹19,999",LED,3,2,Android,Yes,109 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2020,43S6G Pro
"SENS Dwinci 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With LumiSENS Panel, Dolby Vision and Dolby Atmos  (SENS55WGSQLED)","₹29,999",QLED,3,2,Google TV,Yes,140 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,SENS55WGSQLED
Haier 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with DOLBY VISION-ATMOS & Far-Field  (L43EG),"₹30,490",LED,4,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,L43EG
LG 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED55C8PTA),"₹1,29,999",OLED,4,3,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2018,OLED55C8PTA
SONY X82L 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-55X82L),"₹81,300",LED,4,2,Google TV,Yes,138.8 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-55X82L
SONY 138.8 cm (55 inch) OLED Ultra HD (4K) Smart Google TV  (XR-55A80K IN5),"₹1,46,900",OLED,4,2,Google TV,Yes,138.8 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,XR-55A80K IN5
TOSHIBA C350LP 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Dolby Vision Atmos and REGZA Engine  (55C350LP),"₹37,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55C350LP
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android Based TV,"₹46,290",LED,3,2,Android Based,Yes,138.8 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2019,L55M5-5XIN
PHILIPS 7600 Series 126 cm (50 inch) Ultra HD (4K) LED Smart Linux based TV  (50PUT7605/94),"₹28,999",LED,3,2,Linux based,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2021,50PUT7605/94
LG 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV With Pixel Dimming & Magic Remote  (OLED55A2PSA),"₹89,990",OLED,3,2,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,OLED55A2PSA
TOSHIBA C350LP Series 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Dolby Vision Atmos and REGZA Engine  (50C350LP),"₹33,999",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,50C350LP
Candes Frameless 81 cm (32 inch) HD Ready LED TV  (F32N001),"₹8,589",LED,2,2,Android,No,81 cm (32 inch),"HD Ready, 1366 x 768",2021,F32N001
Compaq HUEQ W40 100 cm (40 inch) Full HD LED Smart Android TV  (CQ40APFD),"₹34,999",LED,3,2,Android,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2021,CQ40APFD
"Hisense A6H 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Hands Free Voice Control, Dolby Vision and Atmos  (50A6H)","₹30,499",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,50A6H
SAMSUNG 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55QE1CAKLXL),"₹62,990",QLED,3,2,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,QA55QE1CAKLXL
SONY X82L 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-65X82L),"₹98,600",LED,4,2,Google TV,Yes,163.9 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-65X82L
LG 139 cm (55 inch) Full HD LED Smart WebOS TV  (55LH600T),"₹1,03,900",LED,3,2,WebOS,Yes,139 cm (55 inch),"Full HD, 1920 x 1080",2016,55LH600T
LG 139.7 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV  (55UQ8040PSB),"₹51,833",LED,3,2,WebOS,Yes,139.7 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55UQ8040PSB
"Infinix X3IN 109 cm (43 inch) Full HD LED Smart Android TV 2023 Edition with EPIC Engine, Cinematic Sound, Android R, Built-in Chromecast (Wall Mount Included)  (43X3IN)","₹16,999",LED,2,2,Android,Yes,109 cm (43 inch),"Full HD, 1920 x 1080",2023,43X3IN
Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with HDR 10 Dolby Audio and Eye care technology  (65Y72),"₹43,999",LED,3,2,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,65Y72
Acer 100 cm (40 inch) Full HD LED Smart Android TV 2022 Edition  (AR40AR2841FDFL),"₹18,999",LED,2,2,Android,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2022,AR40AR2841FDFL
SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Android TV  (KD-65X9300E),"₹1,79,999",LED,4,3,Android,Yes,163.9 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2017,KD-65X9300E
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV  (43US),"₹23,990",LED,2,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2020,43US
RGL 99 cm (39 inch) Full HD LED HomeOS TV  (RGL4001),"₹12,990",LED,2,2,HomeOS,No,99 cm (39 inch),"Full HD, 1920 x 1080",2018,RGL4001
Vu GloLED 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W  (50GloLED-3 Yrs),"₹39,999",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,50GloLED-3 Yrs
SKYTRON 140 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV with 30W Thunder Speaker Soundbar Web OS 2.0 TV with Bluetooth (2 Way Playback)  (S55W2UHFW),"₹29,199",LED,3,2,WebOS,Yes,140 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,S55W2UHFW
ONIDA 80 cm (32 inch) HD Ready LED Smart VIDAA TV 2022 Edition  (32IV),"₹11,499",LED,2,2,VIDAA,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32IV
Vu Premium 108 cm (43 inch) Full HD LED Smart Linux TV 2022 Edition  (43GA),"₹24,989",LED,2,2,Linux,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2022,43GA
LG C9 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED65C9PTA),"₹1,99,999",OLED,4,3,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2019,OLED65C9PTA
LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED65B8PTA),"₹2,29,999",OLED,4,3,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,OLED65B8PTA
LG 109.22 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV  (43UM7790PTA),"₹41,890",LED,3,2,WebOS,Yes,109.22 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2021,43UM7790PTA
LG B9 138 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED55B9PTA),"₹1,19,999",OLED,4,3,WebOS,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2019,OLED55B9PTA
LumX 80 cm (32 inch) HD Ready LED TV  (32ZA522),"₹21,900",LED,2,2,Android,No,80 cm (32 inch),"HD Ready, 1366 x 768P",2021,32ZA522
Compaq HUEQ G50B 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV  (CQ50APUDBL),"₹23,999",LED,3,2,Android,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2021,CQ50APUDBL
"Acer 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with Android 11, Dolby Vision-Atmos, 60W HiFi Speakers  (AR50AR2851UDPRO)","₹41,990",LED,3,2,Android,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,AR50AR2851UDPRO
"TCL 80 cm (32 inch) Full HD LED Smart Android TV 2023 Edition with Google Assistant | Full HD Android 11 TV + HDR 10 | AI-IN | T-cast | Apps: Netflix, Youtube, Prime Video & 7000+ Apps | Maximum Content: 10,62,000 Hours | Pure Entertainment  (32S5403AF)","₹11,490",LED,2,1,Android,Yes,80 cm (32 inch),"Full HD, Full HD, 1920 x 1080",2023,32S5403AF
SONY Bravia A8F 163.9 cm (65 inch) OLED Ultra HD (4K) Smart Android TV  (KD-65A8F),"₹2,59,999",OLED,4,3,Android,Yes,163.9 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,KD-65A8F
TCL S5403A 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less with Extra Brightness (Metal Body)  (32S5403A),"₹11,490",LED,2,2,Android,Yes,80.04 cm (32 inch),"HD Ready, 1366 x 768",2023,32S5403A
XElectron 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV  (43XETV),"₹18,999",LED,3,2,Android,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2022,43XETV
Panasonic FX650 Series 108 cm (43 inch) Ultra HD (4K) LED Smart Linux based TV  (TH-43FX650D),"₹41,999",LED,3,2,Linux based,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2018,TH-43FX650D
Thomson FA Series 100 cm (40 inch) Full HD LED Smart Android TV 2023 Edition with Dolby Digital Plus & Android 11  (40RT1033),"₹15,499",LED,3,2,Android,Yes,100 cm (40 inch),"Full HD, 1080 x 1920",2023,40RT1033
Aiwa 108 cm (43 inch) Ultra HD (4K) LED Smart TV  (AS43UHDX1-GTV),"₹30,500",LED,3,2,Android,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 X 2160",2022,AS43UHDX1-GTV
SONY Bravia A9F 164 cm (65 inch) OLED Ultra HD (4K) Smart Android TV  (KD-65A9F),"₹4,69,999",OLED,4,3,Android,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,KD-65A9F
SONY X82L 189 cm (75 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-75X82L),"₹1,49,490",LED,4,2,Google TV,Yes,189 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-75X82L
SONY 138.8 cm (55 Inch) Ultra HD (4K) LCD Smart Google TV  (KD-55X80K),"₹74,690",LCD,4,2,Google TV,Yes,138.8 cm (55 Inch),"Ultra HD (4K), 3840 x 2160",2021,KD-55X80K
LG 122.2 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED55C2PSC),"₹1,18,990",OLED,4,3,WebOS,Yes,122.2 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,OLED55C2PSC
LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED65E8PTA),"₹2,99,999",OLED,4,3,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,OLED65E8PTA
Hisense A4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X  (32A4G),"₹13,999",LED,2,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2021,32A4G
"LG 139.7 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV with True Cinema Experience, Unlimited Entertainment, Realistic Gaming Experience, Low Input Lag, Thrilling Sports Experience, Wide Viewing Angle, Bluetooth Surround Ready  (55UP7740PTZ)","₹49,990",LED,2,1,WebOS,Yes,139.7 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2021,55UP7740PTZ
SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Android TV  (KD-65X8000H),"₹1,79,990",LED,4,2,Android,Yes,163.9 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2020,KD-65X8000H
"Hisense A6K 189 cm (75 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Hands Free Voice Control, Dolby Vision & Atmos and HRR 120 Hz Mode  (75A6K)","₹74,999",LED,3,2,Google TV,Yes,189 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2023,75A6K
Hisense L9HE 305 cm (120 inch) Ultra HD (4K) Laser Smart VIDAA TV with Trichrom Laser Source  (120L9HE),"₹4,99,999",Laser,3,1,VIDAA,Yes,305 cm (120 inch),"Ultra HD (4K), 3840 x 2160",2023,120L9HE
LG 121.92 cm (48 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED48C1PTZ),"₹94,990",OLED,4,3,WebOS,Yes,121.92 cm (48 inch),"Ultra HD (4K), 3840 x 2160",2021,OLED48C1PTZ
BPL 109 cm (43 inch) Full HD LED Smart Android TV  (43F-A4301),"₹21,414",LED,2,2,Android,Yes,109 cm (43 inch),"Full HD, 1920 x 1080",2020,43F-A4301
LG Nanocell 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV  (55NANO86TNA),"₹64,999",LED,4,3,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2020,55NANO86TNA
SONY 163.9 cm (65 inch) Ultra HD (4K) LED Smart Android TV  (KD-65X80K),"₹94,990",LED,4,2,Android,Yes,163.9 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,KD-65X80K
SAMSUNG Series 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV  (55NU7470),"₹1,44,900",LED,3,2,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2018,55NU7470
Panasonic 108 cm (43 inch) HD Ready LED Smart Google TV 2023 Edition  (TH-43MS660DX),"₹27,990",LED,3,2,Google TV,Yes,108 cm (43 inch),"HD Ready, 1366 x 768",2023,TH-43MS660DX
"IMPEX 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby vision and Dolby Atmos, 2 Years warranty  (evoQ 55S4RLC2)","₹40,990",LED,4,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,evoQ 55S4RLC2
Gangnam Street 80 cm (32 inch) HD Ready LED Smart Android TV  (LEDSTVGG3285HD27-EK),"₹9,599",LED,1,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,LEDSTVGG3285HD27-EK
SONY 138.8 cm (55 Inch) Ultra HD (4K) LED Smart Google TV  (XR-55X90K),"₹1,02,999",LED,4,2,Google TV,Yes,138.8 cm (55 Inch),"Ultra HD (4K), 3840 x 2160",2022,XR-55X90K
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV 2022 Edition  (UA65BU8000KLXL),"₹74,990",LED,3,2,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,UA65BU8000KLXL
SKYTRON 80 cm (32 inch) HD Ready LED Smart Android Based TV  (S32FHSC),"₹9,530",LED,2,2,Android Based,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,S32FHSC
CORNEA Bezelless 165 cm (65 inch) Ultra HD (4K) LED Smart Android TV  (65CORFLS05),"₹50,149",LED,3,3,Android,Yes,165 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,65CORFLS05
LIMEBERRY 109 cm (43 inch) Full HD LED Smart Android TV  (43PF09BSNS4GV),"₹18,699",LED,2,2,Android,Yes,109 cm (43 inch),"Full HD, 1080",2023,43PF09BSNS4GV
"LG OLED A3 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV a7 AI Processor Gen6, Eye Comfort Display, Magic Remote Control  (OLED65A3PSA)","₹1,59,990",OLED,3,2,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,OLED65A3PSA
SAMSUNG QN95BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA65QN95BAKLXL),"₹1,89,990",QLED,4,3,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,QA65QN95BAKLXL
BITPRO 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV  (BP65TVAMH65),"₹39,990",LED,3,2,Android,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,BP65TVAMH65
SAMSUNG 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV  (55AU7600KXXL),"₹49,790",LED,3,1,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55AU7600KXXL
SAMSUNG Series 8 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV  (UA75NU8000KXXL),"₹5,98,900",LED,4,2,Tizen,Yes,189 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2018,UA75NU8000KXXL
SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV  (KD-65X80J),"₹94,990",LED,4,2,Google TV,Yes,163.9 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2021,KD-65X80J
SAMSUNG 8 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA65Q80AAKLXL),"₹1,34,991",QLED,4,2,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2021,QA65Q80AAKLXL
"Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with GOOGLE TV ,4K  (TH-55MX850DX)","₹66,719",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840*2160",2023,TH-55MX850DX
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV with Crystal 4K UHD Smart TV  (UA65CU7650KLXL),"₹69,990",LED,3,1,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840x2160",2023,UA65CU7650KLXL
Blaupunkt CyberSound G2 Series 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Atmos & 60 W Sound Output  (65CSGT7024),"₹42,999",LED,3,2,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,65CSGT7024
SAMSUNG 6 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA65Q60AAKLXL),"₹1,04,990",QLED,3,2,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2021,QA65Q60AAKLXL
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV  (UA32T4360AKXXL),"₹16,001",LED,2,1,Tizen,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,UA32T4360AKXXL
LG Nanocell 190 cm (75 inch) Ultra HD (4K) LED Smart WebOS TV  (75NANO91TNA),"₹4,45,044",LED,4,3,WebOS,Yes,190 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2020,75NANO91TNA
LG 190.5 cm (75 inch) Ultra HD (4K) LED Smart WebOS TV with LG Content Store  (75UP8000PTZ),"₹1,29,990",LED,3,2,WebOS,Yes,190.5 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2021,75UP8000PTZ
ZEBRONICS 80 cm (32 inch) HD Ready LED Smart Android Based TV 2023 Edition  (Zeb-32P1),"₹10,999",LED,2,2,Android Based,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,Zeb-32P1
SAMSUNG Neo QLED 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55QN85CAKLXL),"₹99,990",QLED,4,2,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,QA55QN85CAKLXL
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV  ((UA65AU8000),"₹69,990",LED,3,2,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 4k",2021,(UA65AU8000
BITPRO 152 cm (60 inch) Ultra HD (4K) LED Smart Android TV  (BP60TVAMH60),"₹29,990",LED,3,2,Android,Yes,152 cm (60 inch),"Ultra HD (4K), 3840 x 2160",2023,BP60TVAMH60
Haier 80 cm (32 inch) HD Ready LED Smart Google TV  (LE32W400G),"₹19,990",LED,3,2,Google TV,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,LE32W400G
XElectron 60 cm (24 inch) HD Ready LED TV  (24STV),"₹5,499",LED,1,2,Android,No,60 cm (24 inch),"HD Ready, 1366 x 768",2023,24STV
SAMSUNG QN95BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55QN95BAKLXL),"₹1,24,990",QLED,4,3,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,QA55QN95BAKLXL
SAMSUNG AU7700 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV 2022 Edition  (UA75AU7700KXXL),"₹1,25,990",LED,3,1,Tizen,Yes,189 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2022,UA75AU7700KXXL
SAMSUNG UHD 8 Series 108 cm (43 inch) Ultra HD (4K) LED Smart Linux TV  (UN43TU8000FXZA),"₹37,990",LED,3,2,Linux,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2020,UN43TU8000FXZA
IMPEX 80 cm (32 inch) HD Ready LED Smart TV  (Grande),"₹11,999",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2019,Grande
SAMSUNG Q60BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55Q60BAKLXL),"₹71,900",QLED,3,2,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,QA55Q60BAKLXL
V-SKY 80 cm (32 inch) HD Ready LED Smart TV  (Smart Android Series (32EK260)),"₹7,999",LED,1,2,Android,Yes,80 cm (32 inch),"HD Ready, 1280x720$$Pixels",2023,Smart Android Series (32EK260)
SAMSUNG Q80BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA65Q80BAKLXL),"₹1,61,915",QLED,4,2,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,QA65Q80BAKLXL
CORNEA Bezelless 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV  (50CORFLS05),"₹25,499",LED,3,2,Android,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,50CORFLS05
SAMSUNG Q80BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55Q80BAKLXL),"₹84,990",QLED,4,2,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,QA55Q80BAKLXL
SONY Bravia 80 cm (32 inch) HD Ready LED Smart Linux based TV  (KDL-32W6100),"₹28,489",LED,2,2,Linux based,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2020,KDL-32W6100
LG 109 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with 2023 Edition  (43UQ7300PTA),"₹34,095",LED,3,2,WebOS,Yes,109 cm (43 inch),"Ultra HD (4K), 3,840 x 2160 4K Ultra HD",2023,43UQ7300PTA
LG 81.28 cm (32 inch) Full HD LED Smart WebOS TV  (32LQ636B),"₹20,399",LED,2,2,WebOS,Yes,81.28 cm (32 inch),"Full HD, 1366 x 768",2021,32LQ636B
SONY 108 cm (43 Inch) Ultra HD (4K) LED Smart Google TV  (KD-43X80K),"₹59,990",LED,4,2,Google TV,Yes,108 cm (43 Inch),"Ultra HD (4K), 3840 x 2160",2022,KD-43X80K
LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED65C2PSC),"₹1,93,395",OLED,4,3,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,OLED65C2PSC
LIMEBERRY 165 cm (65 inch) Ultra HD (4K) LED Smart Android TV  (65MU11SSSB5GV),"₹49,499",LED,3,2,Android,Yes,165 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,65MU11SSSB5GV
LG Nanocell 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV  (65NANO80TNA),"₹99,990",LED,4,2,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2020,65NANO80TNA
T-Series ECO 80 cm (32 inch) HD Ready LED Linux TV  (TX80BIS),"₹11,990",LED,2,2,Linux,No,80 cm (32 inch),"HD Ready, 1366 x 768",2019,TX80BIS
LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV  (OLED65C2XSC),"₹1,79,990",OLED,4,3,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,OLED65C2XSC
SONY Bravia 139 cm (55 inch) Ultra HD (4K) LED Smart TV  (KD-55X85J),"₹84,990",LED,4,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2021,KD-55X85J
Panasonic 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV  (TH-43LX750DX),"₹37,950",LED,3,2,Android,Yes,109 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2022,TH-43LX750DX
SAMSUNG QN90BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55QN90BAKLXL),"₹1,14,990",QLED,4,2,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,QA55QN90BAKLXL
Lloyd 109 cm (43 inch) Full HD LED Smart Android TV  (43FS550C),"₹27,990",LED,3,2,Android,Yes,109 cm (43 inch),"Full HD, 1920 x 1080",2021,43FS550C
